"Contractor","Case Count"
"ASOCIAŢIA OBŞTEASCĂ „AGENŢIA NAŢIONALĂ DE DEZVOLTARE RURALĂ (ACSA)”",0
"S.C. GLOBU LUX S.R.L.",0
"Î. I. SIMION  CLIPA",0
"S.C. SERVTEL-ELECTRO S.R.L.",0
"URBANPROIECT О.S.",0
"S.A ,,Drumuri Cantemir,,",0
"CP CROMATOGRAF",0
"EXIMOTORS.A.",0
"S.C.XPERT PCS.R.L.",0
"SERVALUXS.R.L.",0
"S.C.DIDAC-COMS.R.L.",0
"APEXPROS.R.L.",0
"Î.C.S.LUKOIL-MOLDOVAS.R.L.",0
"DECEBAL-IMPEXS.R.L.",0
"Î.C.S.PETROM-MOLDOVAS.A.",0
"Î.S.Servicii Pazăa MAI",0
"Î.M.KABION-MEDICALS.R.L.",0
"Î.M.VINAMEXS.R.L.",0
"SRLSTAŢIUNEA BALNEOCLIMATERICĂ CODRU",0
"TRIVIMOLS.R.L.",0
"C.A.ASTERRA GRUPS.A.",0
"Î.M.DUTCHMED-MS.R.L.",0
"SAGITOD - GRUPS.R.L.",0
"Î.I.NOVIŢCHII SERGHEI",0
"Î.M.VIVAMED INTERNATIONALS.R.L.",0
"Î.M.GBG-MLDS.R.L.",0
"Î.C.I.S. DELOITTE & TOUCHE S.R.L.",0
"Î.C.S. BAKER TILLY KLITOU AND PARTNERS S.R.L.",0
"S.C.TEHNO CONSULTING & DESIGNS.R.L.",0
"POŞETĂ DE LUX S.R.L.",0
"II Novitchii Serghei",0
"F.P.C. F.P.C. OMEGA S.R.L.",0
"Î.M. ISEPS-FARMA S.R.L.",0
"ALMIRA S.R.L.",0
"CARTUŞ О.S.",0
"NICOST-EXIM S.R.L.",0
"CONTABILITATEA CENTRALIZATĂ",0
"EDERA TRIO S.R.L.",0
"S.P.B. CONSTRUCTORUL О.S.",0
"Casa Invest",0
"S.C IMCOMVIL GRUP S.R.L",0
"DIDILICĂ VIORICA PETRU",0
"TECHNO-TEST S.R.L.",0
"MEGAINSTAL S.R.L.",0
"PROFI-STIL S.R.L.",0
"S.C. PARTENIA-SERVICE S.R.L.",0
"MILIOM AUTO S.R.L.",0
"S.R.L. STELELE VIITORULUI",0
"S.C. ANIPLAN S.R.L.",0
"MOORE STEPHENS KSC S.R.L.",0
"DRUMURI IALOVENI S.A.",0
"DRUMURI-RÎŞCANI S.A.",0
"FRABO GRUP S.R.L.",0
"PROLEOCONSTRUCT S.R.L.",0
"AGRO-TIRAS S.R.L.",0
"C.C. UNIVERSCOOP LEOVA",0
"ASOCIAȚIA BIBLIOTECARILOR DIN REPUBLICA MOLDOVA",0
"S.R.L. STUDIO - L",0
"P.P. PRIER INFO S.R.L.",0
"CENTRUL DE SĂNĂTATE PUBLICĂ RAIONAL ORHEI",0
"CRICOVA-VIN S.A.",0
"UISPAC S.R.L.",0
"S.C. AQUASTART GRUP S.R.L.",0
"TINUCRIS S.R.L.",0
"PANalytical B.V.",0
"COMPANIA DE ASIGURARE GALAS S.A.",0
"Editura ”Arc”",0
"AO „Institutul Casei Pasive”",0
"BEST FLOWERS S.R.L.",0
"VIVODENT S.R.L.",0
"QMS LIMITED S.R.L.",0
"IRILAND S.R.L.",0
"S.C. AUTO GHERA S.R.L.",0
"S.C. ""TOP GEOCART"" S.R.L.",0
"TOTAL MEDICAL SYSTEM S.R.L.",0
"S.C. CINC- STAR S.R.L.",0
"FLAVIRON S.R.L.",0
"SINDMOL S.R.L.",0
"S.R.L. ,,I.L.P.''",0
"INSTITUTUL MUNCII S.R.L.",0
"Î.M. MAPT S.R.L.",0
"S.C. OXIVIT-MED S.R.L.",0
"HOLIDAY-SERVICE S.R.L.",0
"D.V.V.-SHOW S.R.L.",0
"OWH TV Studio",0
"S.C. EVENTUS-PRIM S.R.L.",0
"Liana Intermedia SRL",0
"AUDIO-LINE S.R.L.",0
"S.C. OlSt-SERVICE S.R.L.",0
"AO ACTR-ACCELS",0
"ATI MOTORS HOLDING SRL",0
"GHEORGHE LECA О.I.",0
"GRAUR ALEXANDRU О.I.",0
"CENTRUL NAŢIONAL DE SĂNĂTATE PUBLICĂ",0
"INVENTCONSTRUCT S.R.L.",0
"Fresenius Medical ",0
"VINESTOP S.R.L.",0
"CITY TOUR S.R.L.",0
"AUTO-HEAD S.R.L.",0
"DP IMOBIL LUX S.R.L.",0
"AUDIT-COMPLEX S.R.L.",0
"S.B.I. S.A.",0
"CHEMIX GRUPP S.R.L.",0
"Î.M. CONSULTING SOFTWARE & INNOVATION S.R.L.",0
"CEGOLTAR S.R.L.",0
"S.R.L. LEVPROCONS S.R.L.",0
"Î.M. REDOX LAB SUPPLIES S.R.L.",0
"S.C. SBC-PROIECT S.R.L.",0
"ŞAHREVAR S.R.L.",0
"SPERANŢA S.R.L.",0
"CONSTRUCT-LUX TG S.R.L:",0
"VETFARM S.R.L.",0
"Casele de Odihnă şi Recuperare PERLELE NISTRULUI S.R.L.",0
"VENT SISTEM-COMPANIE CLIMATICA S.R.L.",0
"S.C. CRISMIRAD S.R.L",0
"S.C. PROMAGIS-PRIM S.R.L.",0
"DIAGROS IMOBIL GRUP S.R.L.",0
"TRIVENT COM S.R.L.",0
"S.R.L. DAVIDANMOBIL",0
"IASICON S.A.",0
"Colibri Media",0
"NEOSUPORT SERVICE S.R.L.",0
"DIGLA-STIL S.R.L.",0
"STAR STORGE S.A.",0
"S.C. ERGOPRIM S.R.L.",0
"APAST & CO S.R.L.",0
"CODRU-NORD S.A.",0
"AMBALAJ-BULBOACA S.A.",0
"Î.I. MIHAILUC ANDREI",0
"CANDISGAZ S.R.L.",0
"DIDL-RENOVAŢIA S.R.L.",0
"NOVADENT S.R.L.",0
"S.R.L. VINICER-PRIM",0
"INSTITUTUL DE PROIECTARE A SISTEMELOR DE GOSPODĂRIRE A APELOR ACVAPROIECT S.R.L.",0
"A.I. NIKA-IMOBIL S.R.L.",0
"S.C. NEOSCAN GRUP S.R.L.",0
"BREND AUTO S.R.L.",0
"S.C. CONSTRUCTGAZ S.R.L.",0
"S.C. ISEGEN-LUX S.R.L.",0
"S.C. LUMEA CALITĂŢII S.R.L.",0
"S.C. CHEMITRANS S.R.L.",0
"VOYAGE PRESTIGE S.R.L.",0
"S.C. ANDIX S.R.L.",0
"S.R.L. APĂ BUNĂ TRADE",0
"DRUMURI ORHEI S.A.",0
"C.C. UNIVERSALCOOP DIN CEADÎR-LUNGA",0
"P.P. CURIERUL DE HÎNCEŞTI S.R.L.",0
"S.C. PATRÎNICHI-STIL S.R.L.",0
"SRL ""Expodesign & Consulting""",0
"F.P.C. TACTICA S R L.",0
"BOGHI PAVEL PETRU",0
"S.R.L. REAL-PROGRES",0
"S.C. SAMOIL-COM S.R.L.",0
"PARCUL URBAN DE AUTOBUZE Î.M.",0
"PUBLICAŢIA PERIODICĂ A CONSILIULUI RAIONAL RÎŞCANI EVENIMENT - ACTUAL I.M.",0
"S.C. MAXIMOS-PAN S.R.L.",0
"FAVORIT-PROD S.R.L.",0
"P.P. ZIARUL CURIERUL DE EDINEŢ - MEDIAGRUP S.R.L.",0
"Î.S. DETAŞAMENTUL DE PAZĂ PARAMILITARĂ",0
"S.C. MAVLALUX-ELECTRIC S.R.L.",0
"IKA-EXPERT S.R.L.",0
"Sanatoriul,,Zootaia Niva""",0
"P.P. GAZETA DE SUD S.R.L.",0
"SUD-TERRA S.R.L.",0
"VENCIUR-REZERVĂ S.A.",0
"Compania SRL ""Albinstal"" ",0
"MAGISTRALA PRUT S.R.L.",0
"S.C. ROAUTO-PLUS S.R.L.",0
"CITY BROKER S.R.L.",0
"Î.I. IURCU ANA",0
"Î.M. GLUCK S.R.L.",0
"VICOLIV GRUP S.R.L.",0
"LAVIX S.R.L.",0
"CENTRUL NAŢIONAL DE VERIFICARE A CALITĂŢII PRODUCŢIEI ALCOOLICE Î.S.",0
"DIUXINOL S.R.L.",0
"COOP COOPALIMENTAŢIE A URECOOP DIN STRĂŞENI",0
"GLOBAL TRANS CONSTRUCTION S.R.L.",0
"S.C. EVM-ANGRO S.R.L.",0
"INSTITUŢIA PRIVATĂ CENTRUL PENTRU JURNALISM INDEPENDENT",0
"Centrul Internațional pentru Protecția și Promovarea Drepturilor Femeii ""La Strada""",0
"RUSNAC ANDREI PAVEL",0
"GOSPODĂRIA LOCATIV-COMUNALĂ IALOVENI О.M.",0
"CEBANU GRIGORII GHEORGHII",0
"Î.C.S. DELTA M.C.M. 93 S.R.L.",0
"SERVICIUL DE STAT PENTRU VERIFICAREA ŞI EXPERTIZAREA PROIECTELOR ŞI CONSTRUCŢIILOR Î.S.",0
"MIACOM S.R.L.",0
"S.C. NICOL FLORA S.R.L.",0
"S.R.L. INTERAGRO CONSCOM",0
"S.C. AQUA LIDER S.R.L.",0
"SC „TANCRAD” SRL",0
"MAESTRO CONSTRUCT S.R.L.",0
"ALGALIA S.R.L.",0
"AO „ECOCONTACT”",0
"S.C. POSTMODERN S.R.L.",0
"S.R.L.,,Tecnic Consulting Engineering,,",0
"PERLUVAL S.R.L.",0
"S.C. SUPRACOLOR SRL",0
"PASECINIK Î.I.",0
"Cantina LICEIST О.S.",0
"S.A. DRUMURI - CĂUŞENI",0
"PIAŢA CENTRALĂ О.M.",0
"DAAC-AUTOTEST S.R.L.",0
"PASARELA PLUS S.R.L.",0
"Î.M. TRIMARAN S.R.L.",0
"S.C. ARHSTUDIO CUB S.R.L.",0
"S.C. PRO VITEXTOP S.R.L.",0
"Î.M. IGIENA COMPANY S.R.L.",0
"DARNIC-GAZ S.A.",0
"S.C. ASEV-CONSTRUCŢIE S.R.L.",0
"S.C. NISPROFCON S.R.L.",0
"PROSPERUS-CONS S.R.L.",0
"S.C. TIERA GRUP S.R.L.",0
"SRL MOBILIS",0
"MAVARA GRUP S.R.L.",0
"S.C. NATALCOM S.R.L.",0
"INDUSTRIALPROIECT Î.S.",0
"VALDAN CONSTRUCT S.R.L.",0
"Antoine Tetaud ",0
"S.C. DSG-MONTAJ S.R.L.",0
"S.C. GEBHARDT-CONSTRUCT S.R.L.",0
"ROTARI V. Î.I.",0
"SPATIUM GRUP S.R.L.",0
"PRUT INTERNAŢIONAL S.R.L.",0
"S.C. ACMIA - CON S.R.L.",0
"S.C. STUDITERRA S.R.L.",0
"CASA NOBILĂ TM S.R.L.",0
"DRUMURI-VULCĂNEŞTI S.A.",0
"S.C. SETUM-CONSTRUCT S.R.L.",0
"SOLING S.A.",0
"Selex ES S.p.A.",0
"FIRMA MAGDA S.R.L.",0
"INTELECTSOFT S.R.L.",0
"S.C. BESTSMART CONSULTING S.R.L",0
"CALIGA VALERIU Î.I.",0
"I.Î. ŞCOALA PROFESIONALĂ NR.8 mun. Chişinău",0
"LUDMILA-BECU Î.I.",0
"SALMED GRUP S.R.L.",0
"Î.M. STROYENERGOGRUP S.R.L.",0
"ACGV ENERGOEXPERT SERVICE S.R.L.",0
"INCRUS S.R.L.",0
"UNIVERSITATEA TEHNICĂ A MOLDOVEI",0
"S.R.L. AZALTEND",0
"PINZARBANAT S.R.L.",0
"RACOVIŢĂ DANIEL Î.I.",0
"S.C EXIMDOR S.R.L",0
"CONINSAL S.R.L.",0
"YORK-REFRIGERENT S.R.L.",0
"VIVACE EXTRA S.R.L.",0
"S.R.L. ŞANGRILA-GRUP",0
"CAVATEH M S.R.L.",0
"UNIVERSITATEA DE STAT DE MEDICINĂ ŞI FARMACIE NICOLAE TESTEMIŢANU DIN REPUBLICA MOLDOVA",0
"F.C.I. CAPITAL S.R.L.",0
"RUBIN-216 S.A.",0
"AUTO-SAN PRIM S.R.L.",0
"S.C. A.S. VEST GRUP S.R.L.",0
"ALEXIRA-COM S.R.L.",0
"TEHNICA-INFO S.R.L.",0
"SLAVANS-GRAFICA S.R.L.",0
"S.C. C.V.R. - ELECTRO S.R.L.",0
"S.C. DIART INFO S.R.L.",0
"S.C. STIVUITOR S.R.L.",0
"ECO EVOLUTIONS S.R.L.",0
"SV REGAL CONSTRUCT S.R.L.",0
"ALIMAR-CONS S.R.L.",0
"Institutul Casei Pasive",0
"SAFCONS SRL",0
"MOBILCOMSERVICE S.A.",0
"S.A. DRUMURI-EDINEŢ",0
"PRESTAR-PLUS S.R.L.",0
"OZONTEH IMPEX S.R.L.",0
"4Rooms Switzeriand GmbH",0
"S.C. FOCALITY S.R.L.",0
"7 SERVICII IMOBILIARE S.R.L.",0
"140 DB RENT S.R.L.",0
"PANELECTRO S.R.L.",0
"LOWATT-ELECTRONICS S.R.L.",0
"F.C.P. REVERSIB SRL",0
"RENADEX - M S.R.L.",0
"CEBOTARI STANISLAV GRIGORE",0
"S.C. CONSFIRMGRUP S.R.L.",0
"LOGICALPOINT S.R.L.",0
"S.C. STRUCTURAL CONSTRUCT S.R.L.",0
"VL CONSULT SERVICE S.R.L.",0
"S.R.L. TERMOLIFE",0
"S.C. UNIVERSALMONTAJ S.R.L.",0
"EURO-SERVICE S.R.L.",0
"S.R.L. MUZCAFE PLUS",0
"S.R.L.”Bitunova România”",0
"ASCENDIS CONSULTING S.R.L.",0
"TOPLIDER S.R.L.",0
"S.R.L. DITA EDIL - PRIM",0
"S.R.L. CAROM - RS",0
"COMBINATUL DE VINURI DE CALITATE""MILEŞTII MICI"" О.S.",0
"ECHINOX S.R.L.",0
"T&T EMPRIO GROOP S.R.L.",0
"S.C. MILTON-PRIM S.R.L.",0
"GRUPUL PROIECTELOR INTELIGENTE S.R.L.",0
"SRL Neotech",0
"Î.C.S. ALEX S & E S.R.L.",0
"S.C. GLOBALCONECT S.R.L.",0
"PROFILAXIE-STOVBUN О.I.",0
"SC ”Neotech” SRL",0
"S.C. GALERIPROIECT S.R.L.",0
"FERONIA COOP",0
"GOLOVATÎI VASILI VASILI",0
"S.C. CLIMATE-SERVICE S.R.L.",0
"SC ATI Motors Holding SRL",0
"S.C. TELEMAGAZIN S.R.L.",0
"UNICONS AI S.R.L.",0
"S.R.L. DIGITAL INVEST",0
"Î.M. O-VIDEO GRUP S.R.L.",0
"Î.S. INSTITUTUL DE DEZVOLTARE A SOCIETĂŢII INFORMAŢIONALE",0
"Agenţia Estoniană de Asigurare a Calităţii",0
"S.R.L. DENALEX-EXIMGRUP",0
"S.R.L. NAVI SOLUTIONS",0
"CARAUTO SERVICE S.R.L.",0
"APARTAMENT & CONSULTING S.R.L.",0
"FIRMA DANIEL SRL",0
"INTERACCES - M S.R.L.",0
"CAZACU DOINA RODION",0
"Î.I. LUNCAŞU DIANA",0
"CEREMPEI  MARINA О.I.",0
"CARTIER S.R.L.",0
